,ID,name,long,lat,location
57,C0AC60,三峽 (Sanshia),121.3697,24.9390,新北市三峽區復興路238號(三峽國中校園內)
58,C0ACA0,新莊 (Xinzhuang),121.4467,25.0514,新北市新莊區中和街193號(榮富國小校園內)
59,C0AD00,三芝 (Sanzhi),121.5019,25.2581,新北市三芝區育英路22號(三芝國小內)
60,C0AD10,八里 (Bali),121.4039,25.1502,新北市八里區中山路二段338號(八里國小內)
61,C0AD30,蘆洲 (Lujhou),121.4723,25.0865,新北市蘆洲區三民路96號(三民高中內)
62,C0AD40,土城 (Tucheng),121.4451,24.9732,新北市土城區金城路一段90號(新北市政府消防局土城分隊大樓樓頂)
63,C0AD50,鶯歌 (Yingge),121.3462,24.9515,新北市鶯歌區尖山埔路106號(鶯歌國小內)
64,C0AG80,中和 (Zhonghe),121.4917,24.9916,新北市中和區錦和路163號(錦和高中內)
65,C1A630,下盆 (Siapen),121.5386,24.7710,新北市烏來區東勢溪中游(步行一小時)
66,C1A750,石碇服務區 (Shiding Service Area),121.6462,25.0087,新北市新北市石碇區文山路一段2號
67,C1A760,坪林交控 (Pinglin Traffic Control Center),121.7134,24.9428,新北市新北市坪林區坪雙路一段52號
68,C1A9N0,四十份 (Sihshihfen),121.5932,24.9341,新北市新店區北宜路旁(文山事業區第四林班)
69,C1AI60,國一N039K (Freeway No. 1 N039K),121.3838,25.0643,新北市新店區北宜路旁(文山事業區第四林班)
70,C0AG90,中和 (Zhonghe) (撤銷站),121.4904,24.9926,新北市國道1號北向39.32K
71,C0AD20,深坑 (Shenkeng) (撤銷站),121.6175,25.0013,新北市深坑區文化街45號(深坑國小內)
72,C0AC90,中和 (Zhonghe) (撤銷站),121.6175,25.0013,新北市深坑區文化街45號(深坑國小內)
73,C0A9I0,三重 (Sanchong) (撤銷站),121.4884,25.0640,新北市三重區中正北路107號(明志國中校園內)
74,C0A9D0,永和 (Yonghe) (撤銷站),121.5047,25.0089,新北市永和區保生路25號(永平國民小學校園內)
75,C0A930,三和 (Sanhe) (撤銷站),121.5940,25.2348,新北市金山區兩湖里(距兩湖分校約300公尺)
76,C0A680,五股 (Wugu) (撤銷站),121.4349,25.0833,新北市五股區248成泰路二段49巷15號(五股國中校園內)
77,C0A710,林口 (Linkou) (撤銷站),121.3782,25.0763,新北市林口區民治路25號(林口國中校園內)
78,C0A580,屈尺 (Cyuchih) (撤銷站),121.5463,24.9224,新北市新店區屈尺里10鄰屈尺路55號(屈尺國民小學國小校園內)
79,C0A590,大尖山 (Dajianshan) (撤銷站),121.6660,25.0515,新北市汐止區勤進路
80,467490,臺中 (TAICHUNG),120.6840,24.1457,臺中市北區精武路295號
81,467770,梧棲 (WUQI) (撤銷站),120.5233,24.2560,臺中市梧棲區臺灣大道十段2號海港大樓6樓
82,C0F000,大肚 (Dadu),120.5721,24.1529,臺中市大肚區瑞井里遊園路一段2號(臺中區監理所內)
83,C0F0A0,雪山圈谷 (Xueshanjuangu),121.2363,24.3885,臺中市和平區(往雪山主峰路上9.8公里處右邊)
84,C0F0B0,石岡 (Shigang),120.7776,24.2760,臺中市石岡區石岡街6號 (臺中市石岡區衛生所)
85,C0F0C0,中坑 (Zhongkeng),120.9033,24.2485,臺中市和平區中坑里中坑段39地號內
86,C0F0D0,審馬陣 (Shenmazhen),121.4203,24.3816,臺中市和平區南湖大山指標16.2K處(審馬陣山附近)
87,C0F0E0,南湖圈谷 (Nanhuquangu),121.4446,24.3637,臺中市和平區南湖大山指標20K處(南湖主峰東峰岔路附近)
88,C0F850,東勢 (Dongshi),120.8330,24.2464,臺中市東勢區東關路647號(東勢林區管理處雙崎工作站內)
89,C0F861,梨山 (Lishan),121.2436,24.2475,臺中市和平區梨山里福壽路29號（福壽山農場）
90,C0F9A0,中竹林 (Zhongzhulin),120.7510,24.1035,臺中市太平區長龍路中埔二號橋至站址直線距離約1.7km
91,C0F9I0,神岡 (Shengang),120.6583,24.2724,臺中市神岡區三民路639號(圳堵國小校園南側大樓屋頂平台)
92,C0F9K0,大安 (Da-an),120.5880,24.3450,臺中市大安區中庄里中山南路296號(大安國小)
93,C0F9L0,后里 (Houli),120.7297,24.3104,臺中市后里區甲后路110號(后里國小)
94,C0F9M0,豐原 (Fengyuan),120.7206,24.2543,臺中市豐原區豐榮里12鄰新生北路155號(豐原國小)
95,C0F9N0,大里 (Dali),120.7013,24.0924,臺中市大里區文化街120號(塗城國小)
96,C0F9O0,潭子 (Tanzi),120.7039,24.2131,臺中市潭子區中山路二段435號(潭子國小)
97,C0F9P0,清水 (Qingshui),120.5622,24.3122,臺中市清水區護岸路37號(高美國小)
98,C0F9Q0,外埔 (Waipu),120.5622,24.3122,臺中市清水區護岸路37號(高美國小)
99,C0F9R0,龍井 (Longjing),120.5289,24.1845,臺中市龍井區西里龍門路51號(龍井國小)
100,C0F9S0,烏日 (Wuri),120.5289,24.1070,臺中市龍井區西里龍門路51號(龍井國小)
101,C0F9T0,西屯 (Xitun),120.6412,24.1794,臺中市西屯區西屯路二段300號(西屯國小)
102,C0F9U0,南屯 (Nantun),120.6379,24.1370,臺中市南屯區黎明路一段968號(南屯國小)
103,C0F9V0,新社 (Xinshe),120.8158,24.2001,臺中市南屯區黎明路一段968號(南屯國小)
104,C0F9X0,大雅(中科園區) (Daya),120.6244,24.2152,臺中市大雅區中部科學工業園區臺中園區(汙水處理機房樓頂)
105,C0F9Y0,桃山 (Taoshan),121.3038,24.4327,臺中市和平區(位於往桃山山屋叉路解說牌附近)
106,C0F9Z0,雪山東峰 (Xueshandongfeng),121.2686,24.3887,臺中市和平區(位於雪山東峰直升機停機坪東南東方60公尺處)
107,C0FA00,烏石坑 (Shinmei),120.9476,24.2735,臺中市和平區東崎路2段烏石巷109號
108,C0FA10,松柏 (SONGBAI),120.6174,24.4291,臺中市大甲區順帆路233號(松柏安檢所樓頂)
109,C0FA20,溫寮 (WUNLIAO),120.5831,24.3721,臺中市大安區中山北路1巷67號(臺中大安區里民活動中心樓頂)
110,C0FA30,梧棲 (WUQI),120.5233,24.2560,臺中市梧棲區臺灣大道十段2號海港大樓6樓
111,C0F930,大甲 (Dajia),120.6404,24.3476,臺中市大甲區開元路71號(大甲高級工業職業學校內)
112,C0F970,大坑 (Dakeng),120.7222,24.1731,臺中市北屯區軍福十三路268號(東山消防分隊)
113,C1F871,上谷關 (Shangguguan),121.0186,24.2034,臺中市和平區(博愛國小谷關分校附近)
114,C1F891,稍來 (Shaolai),121.0011,24.2656,臺中市和平區八仙山事業區49林班地船型山苗圃廢棄觀測坪附近
115,C1F911,新伯公 (Xinbogong),120.8410,24.2213,臺中市東勢區詒福段163地號(台電公司門前右前方)
116,C1F941,雪嶺 (Xueling),121.0266,24.2805,臺中市和平區雪嶺地區八仙山事業區60林班地小雪山莊後方水塔後山頂
117,C1F9B1,桐林 (Tonglin),120.7351,24.0661,臺中市霧峰區桐林里民生路(桐林國小斜對面)
118,C1F9C1,白冷 (Baileng),120.9298,24.1828,臺中市和平區天輪里天輪巷42號(臺中市和平區白冷國民小學校園內)
119,C1F9D1,白毛台 (Baimaotai),120.9298,24.1828,臺中市和平區天輪里天輪巷42號(臺中市和平區白冷國民小學校園內)
120,C1F9E1,龍安 (Long-an),120.8319,24.1605,臺中市新社區中和里內(距龍安橋約1.2k處)
121,C1F9G1,慶福山 (Cingfushan),120.8483,24.1808,臺中市東勢區(台8線10.5k往馬鞍農場方向.車程約半小時)
122,C1F9J1,清水林 (Qingshuilin),120.8204,24.0712,臺中市太平區136縣道9.5k處旁約500公尺
123,C1F9W0,德基 (Deji),121.1902,24.2547,臺中市和平區台8甲線69-70k處，彎入勝利路接翠巒產業道路約6.2km，路邊白色水塔旁
124,C1F9F1,伯公龍 (Bogonglong),120.8490,24.2723,臺中市東勢區勢林街(宏覺寺旁)
125,C1F9G0,慶福山 (Cingfushan) (撤銷站),120.8478,24.1810,臺中市東勢區(台8線10.5k往馬鞍農場方向車程約半小時)
126,C1F9H0,烏石坑 (Wushihkeng) (撤銷站),120.9456,24.2790,臺中市和平區大安溪事業區第122林班之烏石坑苗圃內
127,C1F9H1,烏石坑 (Wushikeng) (撤銷站),120.9458,24.2790,臺中市和平區大安溪事業區第122林班之烏石坑苗圃內
128,C1F9I0,神岡 (Shengang) (撤銷站),120.6587,24.2726,臺中市和平區大安溪事業區第122林班之烏石坑苗圃內
