,ID,name,long,lat
103,C0F9V0,新社 (Xinshe),120.6379,24.1370
104,C0F9X0,大雅(中科園區) (Daya),120.8158,24.2001
105,C0F9Y0,桃山 (Taoshan),120.6244,24.2152
106,C0F9Z0,雪山東峰 (Xueshandongfeng),121.3038,24.4327
107,C0FA00,烏石坑 (Shinmei),121.2686,24.3887
108,C0FA10,松柏 (SONGBAI),120.9476,24.2735
109,C0FA20,溫寮 (WUNLIAO),120.6174,24.4291
110,C0FA30,梧棲 (WUQI),120.5831,24.3721
111,C0F930,大甲 (Dajia),120.5233,24.2560
112,C0F970,大坑 (Dakeng),120.6404,24.3476
113,C1F871,上谷關 (Shangguguan),120.7222,24.1731
114,C1F891,稍來 (Shaolai),121.0186,24.2034
115,C1F911,新伯公 (Xinbogong),121.0011,24.2656
116,C1F941,雪嶺 (Xueling),120.8410,24.2213
117,C1F9B1,桐林 (Tonglin),121.0266,24.2805
118,C1F9C1,白冷 (Baileng),120.7351,24.0661
119,C1F9D1,白毛台 (Baimaotai),120.9298,24.1828
120,C1F9E1,龍安 (Long-an),120.8869,24.1583
121,C1F9G1,慶福山 (Cingfushan),120.8319,24.1605
122,C1F9J1,清水林 (Qingshuilin),120.8483,24.1808
123,C1F9W0,德基 (Deji),120.8204,24.0712
124,C1F9F1,伯公龍 (Bogonglong),121.1902,24.2547
125,C1F9G0,慶福山 (Cingfushan) (撤銷站),120.8490,24.2723
126,C1F9H0,烏石坑 (Wushihkeng) (撤銷站),120.8478,24.1810
127,C1F9H1,烏石坑 (Wushikeng) (撤銷站),120.9456,24.2790
128,C1F9I0,神岡 (Shengang) (撤銷站),120.9458,24.2790
129,C1F9J0,清水林 (Cingshueilin) (撤銷站),120.6587,24.2726
130,C1F9F0,伯公龍 (Bogonglong) (撤銷站),120.8203,24.0715
131,C1F9E0,龍安 (Long-an) (撤銷站),120.8492,24.2724
132,C1F9D0,白毛台 (Baimaotai) (撤銷站),120.8320,24.1601
133,C1F9C0,白冷 (Baileng) (撤銷站),120.8870,24.1582
134,C1F970,大坑 (Dakeng) (撤銷站),120.9298,24.1826
135,C1F9A0,中竹林 (Jhongjhulin) (撤銷站),120.7362,24.1715
136,C1F9B0,桐林 (Tonglin) (撤銷站),120.7514,24.1037
137,C1F920,石岡 (Shihgang) (撤銷站),120.7353,24.0662
138,C1F930,大甲 (Dajia) (撤銷站),120.7703,24.2796
139,C1F940,雪嶺 (Xueling) (撤銷站),120.6420,24.3510
140,C1F910,新伯公 (Xinbogong) (撤銷站),121.0267,24.2807
141,C1F890,稍來 (Shaolai) (撤銷站),120.8409,24.2215
142,C1F000,大肚 (Dadu) (撤銷站),121.0012,24.2657
143,C1F850,東勢 (Dongshih) (撤銷站),120.5726,24.1529
144,C1F870,上谷關 (Shangguguan) (撤銷站),120.8334,24.2462
145,C0F990,橫山 (Hengshan) (撤銷站),121.0189,24.2032
146,C0F900,雙崎 (Shuangqi) (撤銷站),120.6073,24.2191
147,C0F920,石岡 (Shigang) (撤銷站),120.9042,24.2885
148,467410,臺南 (TAINAN),120.2047,22.9932
149,467420,永康 (YONGKANG),120.2047,22.9932
150,467780,七股 (QIGU) (撤銷站),120.2367,23.0383
151,C0O810,曾文 (Cengwen),120.0861,23.1470
152,C0O830,北寮 (Beiliao),120.4973,23.2196
153,C0O840,王爺宮 (Wangyegong),120.4950,23.0795
154,C0O860,大內 (Danei),120.4008,23.2220
155,C0O900,善化 (Shanhua),120.3608,23.1188
156,C0O930,玉井 (Yujing),120.2972,23.1128
157,C0O950,安南 (Annan),120.4605,23.1260
158,C0O960,崎頂 (Qiding),120.1448,23.0766
159,C0O970,虎頭埤 (Hutoupi),120.3693,22.9595
160,C0O980,新市 (Xinshi),120.3478,23.0213
161,C0O990,媽廟 (Mamiao),120.2981,23.0616
162,C0X050,東河 (Donghe),120.2935,22.9917
163,C0X060,下營 (Xiaying),120.3856,23.2965
164,C0X080,佳里 (Jiali),120.2562,23.2269
165,C0X100,臺南市北區 (Beiqu Tainan City),120.1450,23.1730
166,C0X110,臺南市南區 (Nanqu Tainan City),120.1942,23.0103
167,C0X120,麻豆 (Madou),120.1883,22.9611
168,C0X130,官田 (Guantian),120.2486,23.1832
169,C0X140,西港 (Xigang),120.3154,23.1932
170,C0X150,安定 (Anding),120.2031,23.1256
171,C0X160,仁德 (Rende),120.2278,23.1026
172,C0X170,關廟 (Guanmiao),120.2576,22.9682
173,C0X180,山上 (Shanshang),120.3277,22.9630
174,C0X190,安平 (Anping),120.3632,23.0757
175,C0X200,左鎮 (Zuozhen),120.1521,22.9931
176,C0X210,白河 (Baihe),120.4085,23.0567
177,C0X220,學甲 (Xuejia),120.4144,23.3474
178,C0X230,鹽水 (Yanshui),120.1821,23.2303
179,C0X240,關子嶺 (Guanziling),120.2476,23.2726
180,C0X250,新營 (Xinying),120.5080,23.3311
181,C0X260,後壁 (Houbi),120.3166,23.3106
182,C0X280,將軍 (Jiangjun),120.3623,23.3663
183,C0X290,北門 (Beimen),120.1357,23.2149
184,C0X300,鹿寮 (Luliao),120.1254,23.2677
185,C0X310,七股 (Qigu),120.4773,23.3860
186,C0X320,柳營 (Liuying),120.0862,23.1472
187,C1N001,沙崙 (Shalun),120.3752,23.2533
188,C1O921,楠西 (Nanxi),120.3094,22.9354
189,C1O940,東山服務區 (Dongshan Service Area),120.4840,23.1835
190,C1O850,環湖 (Huanhu),120.3984,23.2860
191,C1O870,大棟山 (Dadongshan),120.4186,23.1486
192,C1O880,關山 (Guanshan),120.5222,23.3115
193,C1X040,東原 (Dongyuan),120.5940,23.1733
194,C1X050,東河 (Donghe) (撤銷站),120.4638,23.2915
195,C1X060,下營 (Shiaying) (撤銷站),120.3853,23.2968
196,C1X070,北門 (Beimen) (撤銷站),120.2562,23.2269
197,C1X090,七股 (Ciguliao) (撤銷站),120.1248,23.2682
198,C1X010,岸內 (Annei) (撤銷站),120.1460,23.1418
199,C1X030,白河 (Baihe) (撤銷站),120.2605,23.3298
200,C1O920,楠西 (Nanxi) (撤銷站),120.4290,23.3251
201,C1O860,大內 (Danei) (撤銷站),120.4844,23.1832
202,C1O950,和順 (Heshun) (撤銷站),120.3614,23.1201
203,C1O960,崎頂 (Ciding) (撤銷站),120.1447,23.0765
204,C1O970,虎頭埤 (Hutoupi) (撤銷站),120.3689,22.9596
205,C1O980,新市 (Xinshi) (撤銷站),120.3478,23.0213
206,C1O990,媽廟 (Mazumiao) (撤銷站),120.2986,23.0621
207,C1O820,左鎮 (Zuojhen) (撤銷站),120.2933,22.9915
208,C1O830,北寮 (Beiliao) (撤銷站),120.4041,23.0551
209,C1O840,王爺宮 (Wangyegong) (撤銷站),120.4944,23.0796
210,C1N000,沙崙 (Shalun) (撤銷站),120.3992,23.2207
211,C0X270,柳營 (Liuying) (撤銷站),120.3092,22.9357
212,C0X020,關子嶺 (Guanzihling) (撤銷站),120.3735,23.2572
213,C0O910,新營 (Sinying) (撤銷站),120.5115,23.3270
214,467440,高雄 (KAOHSIUNG) (撤銷站),120.3157,22.5659
215,467441,高雄 (Kaohsiung),120.3157,22.5659
216,C0V210,復興 (Fuxing),120.3123,22.7305
217,C0V250,甲仙 (Jiasian),120.8060,23.2224
218,C0V260,月眉 (Yuemei),120.5917,23.0801
219,C0V310,美濃 (Meinong),120.5398,22.9710
220,C0V350,溪埔 (XIPU),120.5191,22.8987
221,C0V360,內門 (Neimen),120.4467,22.7385
222,C0V370,古亭坑 (Gutingkeng),120.4667,22.9754
223,C0V400,阿公店 (Agongdian),120.4019,22.8931
224,C0V530,阿蓮 (Alian),120.3555,22.8041
225,C0V610,梓官 (Ziguan),120.3275,22.8832
226,C0V620,永安 (Yong'an),120.2672,22.7605
227,C0V630,茄萣 (Qieding),120.2368,22.8231
228,C0V640,湖內 (Hunei),120.1826,22.9066
229,C0V650,彌陀 (Mituo),120.2445,22.8871
230,C0V660,岡山 (Gangshan),120.2463,22.7838
231,C0V670,楠梓 (Nanzi),120.2949,22.7970
232,C0V680,仁武 (Renwu),120.2860,22.7197
233,C0V690,鼓山 (Gushan),120.3477,22.7010
234,C0V700,三民 (Sanmin),120.2755,22.6233
235,C0V710,苓雅 (LingYa),120.3112,22.6450
236,C0V720,林園 (Linyuan),120.3306,22.6227
237,C0V730,大寮 (Daliao),120.3945,22.5077
238,C0V740,旗山 (Qishan),120.3957,22.6056
239,C0V750,路竹 (Luzhu),120.4835,22.8886
240,C0V760,橋頭 (Qiaotou),120.2594,22.8549
241,C0V770,大社 (Dashe),120.3057,22.7578
242,C0V790,萬山 (Wanshan),120.3466,22.7303
